ability,能力,名詞,He has the ability to do the work.,彼にはその仕事をこなす能力がある。
able,〜することができる,形容詞,Sorry， I don't think I'm gonna be able to.,ごめん。出来るとは思えないよ。
about,～について,前置詞,I suppose it's different when you think about it over the long term.,長い目で見れば違ってくると思います。
above,〜の上に（カジュアル）,副詞,Excuse me; allow me to point out three errors in the above article.,失礼だが、上記の記事にある３つの誤りを指摘しておきたい。
absolute,絶対的な；完全な,形容詞,That's the absolute truth.,それは全くの真実です。
absolutely,絶対に,副詞,Your idea is absolutely impossible.,君の考えは絶対に不可能だ。
accept,受け入れる；受け取る,動詞,Did you accept his statement as true?,君は彼のいったことが本当だと認めたのですか。
acceptable,許容できる,形容詞,Driving after drinking alcohol is not acceptable behavior.,飲酒運転が許される行為ではない。
account,(預金)口座,名詞,I do not have an account in these forums.,これらのフォームのアカウントを私はもってません。
across,横切って；交差して,副詞,Can you swim across the river?,君はこの川を泳いで渡れますか。
act,行動する,動詞,You must act in accordance with the rules.,君は規則に従って行動しなければならない。
action,行動,名詞,Your motive was admirable， but your action was not.,君の動機は立派であったが行動はそうではなかった。
actual,実際の,形容詞,That is an actual fact.,それは実際にあった事だ。
actually,実際は,副詞,Did you actually see the accident?,君は実際に事故を見たのですか。
add,加える,動詞,Please add up the bill.,勘定書を合計して下さい。
addition,追加,名詞,We are expecting an addition to our family.,我が家はもう一人増えそうです。
additional,追加の,形容詞,How much was the additional charge?,割り増し料金はいくらでしたか。
address,住所； アドレス,名詞,Write your address here.,君の住所をここにお書きなさい。
admit,認める,動詞,I must admit that I snore.,いびきをかくことは認めるよ・・・。
advertise,宣伝する,動詞,Many companies advertise their products on TV.,テレビで製品を宣伝する会社が多い。
advertisement,広告,名詞,The job advertisement specifically requested females.,求人広告には「女性を求む」とはっきり書かれていた。
afford,～する余裕がある,動詞,You can't afford to neglect your health.,君は自分の健康を度外視するわけにはいかない。
afraid,怖がって,形容詞,Every person who is alone is alone because they are afraid of others.,孤独な人は、他人を恐れるから一人なのだ。
after,～後で；～を追って,副詞,Pull into shape after washing.,洗ったあと引っ張って形にして。
afternoon,午後,名詞,I spent the whole afternoon chatting with friends.,午後はずっと友人とおしゃべりをして過ごした。
again,再び；その上,副詞,Could you call again later， please?,また後でかけ直していただけませんか？
against,～に反対して,前置詞,Are you for or against abortions?,あなたは妊娠中絶に賛成ですか、反対ですか。
age,年齢,名詞,You must take his age into account.,君は彼の年齢を考慮に入れなければならない。
