above,〜の上に（カジュアル）,副詞,Excuse me; allow me to point out three errors in the above article.,失礼だが、上記の記事にある３つの誤りを指摘しておきたい。,
absolutely,絶対に,副詞,Your idea is absolutely impossible.,君の考えは絶対に不可能だ。,
across,横切って；交差して,副詞,Can you swim across the river?,君はこの川を泳いで渡れますか。,
actually,実際は,副詞,Did you actually see the accident?,君は実際に事故を見たのですか。,
after,～後で；～を追って,副詞,Pull into shape after washing.,洗ったあと引っ張って形にして。,
again,再び；その上,副詞,Could you call again later， please?,また後でかけ直していただけませんか？,
ago,～前に,副詞,It was twenty years ago as I look back on it.,回顧すればもう２０年の昔となった。,
ahead,前方に；先に,副詞,You can get ahead in the world.,君は成功するよ。,
all,すべて,副詞,"When will you be back? ""It all depends on the weather.""",「いつ戻りますか」「天候次第です」,
almost,ほとんど（主観的）,副詞,It almost scared me not to see you online for a whole day.,丸一日オンラインで君を見ないなんてびっくりだよ。,
alone,独りで；ただ～だけ,副詞,Every person who is alone is alone because they are afraid of others.,孤独な人は、他人を恐れるから一人なのだ。,
already,すでに,副詞,It is already eleven.,１１時になっているよ。,
alright,申し分ない；大丈夫である；了解した,副詞,Would it be alright to come to visit your place soon?,そのうち、あなたのところにお邪魔してもいいですか。,
also,～もまた；同様に；その上,副詞,Not only you but also I was involved.,君ばかりか僕まで巻き添えを食らった。,
always,いつも,副詞,I always liked mysterious characters more.,私はいつも不思議な性格の方が好きだった。,
anymore,もはやこれ以上～しない,副詞,There's not a single safe place anymore in Japan.,平和なところなんて、もう、日本のどこにもありませんよ。,
anyway,とにかく；いずれにせよ,副詞,Is that anyway to speak to your elders and betters!,ソレが年上や目上の者に対する態度か！,
anywhere,（肯定文で）どこでも,副詞,You may go anywhere you like.,君はどこへでも好きなところへ行っていい。,
apart,離れて；別々に,副詞,You had better set some money apart for your wedding.,君は、結婚式のためにお金を別に取っておいたほうがいい。,
apparently,明白に；見掛けは,副詞,An apparently small event may lead to a great result.,一見つまらない出来事もやがてたいへんな結果になることがある。,
around,～の周りに,副詞,With so many people around he naturally became a bit nervous.,多くの人に囲まれて彼は自然と少し緊張しだした。,
away,離れて,副詞,You're just running away from life's problems.,君はただ人生の問題から逃げているだけだよ。,
back,もとに戻って,副詞,I will be back soon.,すぐに戻ります。,
badly,悪く,副詞,Don't speak badly of him in his absence.,陰で彼の悪口を言うな。,
basically,基本的には,副詞,I believe men are basically good.,人間は基本的には善良だと私は信じている。,
before,以前に,副詞,Wash before first wearing.,最初着る前に洗濯してください。,
behind,～の後ろに,副詞,I'll stand behind you if you are going to do it.,君にそれをやる気があるならあと押ししよう。,
below,下に；低く,副詞,Your marks were well below average this term.,君の成績は今学期は平均よりだいぶ下だった。,
beyond,～の向こうに；～を超えて；～のほかに,副詞,Your conduct is beyond bearing.,君の行為にはまったくがまんできない。,
carefully,注意深く,副詞,We must feel our way carefully in the dark.,我々は暗闇の中では注意深く手探りで進まなければならない。,
certainly,（改まった場面で）確かに,副詞,You've worked hard for months and have certainly earned a holiday.,君は何ヶ月もよく働いたのだから休暇をもらったのは当然のことだ。,
clearly,はっきりと,副詞,We can clearly see the cycle of the seasons in Canada.,カナダでは季節の循環がはっきり見られます。,
close,近い,副詞,How many close friends do you have?,親友は何人いる？,
closely,密接に,副詞,The problem closely relates to our everyday life.,その問題は我々の日常生活に密着している。,
completely,完全に,副詞,My life would be completely empty without you.,君がいなければ私の人生は全くむなしいだろう。,
deeply,深く；深刻に,副詞,You are deeply involved with this.,君はこのことに深い関係がある。,
definitely,明確に,副詞,Your idea is definitely worth thinking about.,君のアイディアは確かに検討する価値がある。,
differently,異なって,副詞,We see things differently according to whether we are rich or poor.,金持ちか貧乏かによって、ものの見方が違うものだ。,
easily,簡単に,副詞,To my surprise， he easily came up with a plan.,驚いたことに、彼は簡単に案を考え出した。,
else,その他に；さもないと,副詞,I won't ask you anything else today.,今日はもう聞かないよ。,
elsewhere,どこか他の所で,副詞,She went shopping elsewhere.,彼女はどこか他に買い物に行った。,
especially,特に,副詞,You should especially not drink on an empty stomach.,とりわけ空腹に酒はいけない。,
even,更に,副詞,Don't you even think of eating my chocolate!,私のチョコレートを食べることを考えさえしないで。,
ever,今までに；絶対に；ずっと；いつか；いったい,副詞,That's the stupidest thing I've ever said.,こんな馬鹿なことは言ったことが無い。,
everywhere,どこでも；どこで～しても,副詞,People everywhere yearn for public leaders dedicated to world peace.,あらゆる所の人々が世界平和に尽くす民衆の指導者を切望している。,
exactly,正確に,副詞,I don't know exactily.,正確にはわかりません。,
fairly,かなり,副詞,Unless it's something fairly impressive， I won't remember it.,よっぽど印象に残る事じゃないと覚えてないんだよね。,
finally,最後に；やっと,副詞,You finally succeeded in getting a job.,君は仕事を得るのに成功した。,
firstly,まず第一に,副詞,firstly…,まず一つ目は、、、,
forward,前方の,副詞,I look forward to hearing your thoughts on this matter.,これにつきまして、お考えをお聞かせ願えればと存じます。,
friendly,友好的な,副詞,You must be friendly with your neighbors.,近所の人とは仲良くしなければなりません。,
fully,完全に；十分に,副詞,I take it that you are fully acquainted with the facts.,君は十分事実を知っていると思う。,
generally,一般に,副詞,Korean food is generally very spicy.,韓国料理は一般的に辛い。,
gently,優しく；穏やかに,副詞,The road curves gently towards the west.,その道は緩やかに西にカーブしている。,
greatly,非常に,副詞,Your work has greatly improved.,君の仕事はとても上達しました。,
hardly,ほとんど～ない,副詞,I can hardly hear you.,君の話がほとんど聞き取れない。,
heavily,重く,副詞,It has been raining heavily for three hours.,雨が３時間も激しく降り続いています。,
here,ここに,副詞,America is a lovely place to be， if you are here to earn money.,お金を稼ぎたいならアメリカが一番だ。,
highly,（学術的に）非常に,副詞,Your conclusion is highly arguable.,君の結論には議論の余地がたくさんある。,
hopefully,願わくは；うまくいけば,副詞,hopefully， I will be back by six o'clock.,うまくいけば六時までには帰れる。,hopefully， I will be back by six o'clock.
how,どのように,副詞,She's asking how that's possible.,彼女は、どうしてそんなことが可能なのかと尋ねている。,
indeed,確かに,副詞,If it becomes stubborn indeed it stands alone.,頑固になればなるほど孤立するよ。,
instead,その代わりに,副詞,I will play Sudoku then instead of continuing to bother you.,君を邪魔するくらいなら私は数独をやってるよ。,
just,正確に ，ただの,副詞,I'm just saying!,言ってみただけ！,
largely,主として；大部分は,副詞,The taste of wine is largely dependent upon the weather.,ぶどう酒の味は天候に大きく左右されるんです。,
least,最も小さい；最も少ない，最も小さい；最も少ない,副詞,You should have locked， or at least closed， all the doors.,君は全部のドアを施錠するか、せめて閉じるべきだった。,
mainly,主に,副詞,Scientists deal mainly with physical matters.,科学者は主として物質の問題を取り扱う。,
maybe,もしかすると；たぶん,副詞,But maybe guys don't like them.,でも男性はああゆうのは気に入らないようね。,
monthly,毎月に,副詞,How much is the monthly rate?,家賃はひと月いくらですか。,
most,最も多くの；たいていの，最も,副詞,"It is said that ""Hamlet"" is the most interesting play ever written.",「ハムレット」はこれまでで最もおもしろい戯曲だと言われている。,
mostly,主に；ほとんど,副詞,The pain has mostly gone away.,だいぶ痛みがなくなりました。,
naturally,自然に,副詞,With so many people around he naturally became a bit nervous.,多くの人に囲まれて彼は自然と少し緊張しだした。,
nearly,ほとんど（客観的）,副詞,You nearly poked me in the eye with your pencil.,君はもう少しで私の目を鉛筆で突き刺すところだった。,
necessarily,必ずしも,副詞,You do not necessarily have to go there yourself.,必ずしも行く必要はないよ。,
never,決して〜ない；〜したことがない;,副詞,This is never going to end.,きりがない。,
newly,新しく,副詞,Why on earth did you sell your newly built house?,一体全体、どうして建てたばかりの家を売却してしまったんだい。,
normally,普通は；正常に,副詞,We can normally conceal our thoughts from others.,わたしたちは普通他人に自分の気持ちを隠す事ができる。,
not,～ではない,副詞,I'll do my best not to disturb your studying.,あなたの勉強を邪魔しないようにします。,
now,今；すぐに；これから；さて；いまや～だから,副詞,Uh， now it's really weird...,ああ、凄く変だなあ・・・。,
obviously,明らかに,副詞,He can speak French， and obviously English.,彼はフランス語を話せる、ましてや英語は無論のことだ。,
often,しばしば,副詞,I live near the sea， so I often get to go to the beach.,私は海の近くに住んでいるのでよく海岸に行きます。,
once,一度；昔の，いったん～すると,副詞,I once wanted to be an astrophysicist.,私は一時期、天体物理学者になりたかった。,
only,唯一の；最良の，ただ～だけ,副詞,I can only wonder if this is the same for everyone else.,みんなもそうなのかな、と思うことくらいしかできない。,
out,外に；外に出て；外れて,副詞,Excuse me; allow me to point out three errors in the above article.,失礼だが、上記の記事にある３つの誤りを指摘しておきたい。,
over,超えて、向こうへ,副詞,I suppose it's different when you think about it over the long term.,長い目で見れば違ってくると思います。,
particularly,部分的に,副詞,Our bus comes late， particularly when we are in a hurry.,急いでいる時に限ってバスが遅れる。,
partly,一部分は；少しは,副詞,I partly agree with you.,一部君の意見に賛成する。,
perfectly,完璧に,副詞,Your conduct is perfectly legal.,君の行動は全く合法的だ。,
perhaps,ひょっとすると；おそらく,副詞,Now that you know the truth， perhaps you'll feel better.,もう真実を知ったのだから、多分気分がよくなるでしょう。,
personally,個人的に；自ら,副詞,The president conducted us personally to his office.,大統領自ら我々を執務室に案内してくれた。,
please,どうぞ；どうか；ぜひ,副詞,If you see a mistake， then please correct it.,もし間違いを見つけたら訂正してください。,
possibly,考えようによっては；～かも知れない,副詞,Get up as early as you possibly can.,何とかして出来るだけ早く起きなさい。,
probably,おそらく,副詞,That was probably what influenced their decision.,それで彼らの気が変わったのかも知れない。,
properly,適切に,副詞,You've been properly led up the garden path.,君はまんまとだまされてきたのだよ。,
quickly,速く；すぐに,副詞,Make sure that the complaints are dealt with as quickly as possible.,苦情は出来るだけ迅速に処理されるよう取り計らいなさい。,
quietly,静かに,副詞,Jim went into the room quietly lest he should wake the baby.,ジムは赤ん坊を起こさないように静かに部屋に入った。,
quite,全く；かなり,副詞,Well， the night is quite long， isn't it?,あぁまだ、宵の口だね。,
rather,かなり；いくぶん；どちらかといえば；それどころか,副詞,That is rather unexpected.,それはいささか唐突だ。,
really,本当に；実に,副詞,If you look at the lyrics， they don't really mean much.,歌詞を見てみれば、あまり意味が無いことに気付くでしょう。,
reasonably,理性的に；合理的に,副詞,We can not reasonably ask more.,これ以上求められないのは当然だ。,
recently,最近；近年,副詞,It was only recently that she changed her mind.,つい最近になって初めて彼女は考えを変えた。,
roughly,粗雑に；手荒く,副詞,These can be classified roughly into three types.,これらは３つのタイプに大別される。,
secondly,第二に,副詞,secondly…,二つ目は、、、,
seriously,真剣に,副詞,My pet dog was seriously ill.,愛犬の病気は重かった。,
silly,ばかな,副詞,I need to ask you a silly question.,バカな質問があるんだ。,
simply,簡単に；単純に,副詞,Education does not consist simply in learning a lot of facts.,教育は単に多くの事実を学ぶことにあるわけでない。,
slightly,わずかに,副詞,The festive mood was slightly spoiled by terrorist bombs.,テロリストの爆弾によって、祭気分はいささか消沈した。,
slowly,ゆっくりと,副詞,The cows were moving very slowly through the long green grass.,牛は背の高い緑色の草の中をゆっくり動いていました。,
somehow,どういうわけか；なんらかの方法で,副詞,I've got to get some money somehow to repay the bank loan.,銀行のローンを返すのに、どうしてもお金が必要です。,
sometimes,ときどき,副詞,There are sometimes blizzards in Kanazawa.,金沢では吹雪くことがある。,
somewhere,どこかに,副詞,Haven't we met somewhere before? asked the student.,「以前にどこかで会ったことがありませんか」とその学生はたずねた。,
