ability,能力,名詞,He has the ability to do the work.,彼にはその仕事をこなす能力がある。
account,(預金)口座,名詞,I do not have an account in these forums.,これらのフォームのアカウントを私はもってません。
action,行動,名詞,Your motive was admirable， but your action was not.,君の動機は立派であったが行動はそうではなかった。
addition,追加,名詞,We are expecting an addition to our family.,我が家はもう一人増えそうです。
address,住所； アドレス,名詞,Write your address here.,君の住所をここにお書きなさい。
advertisement,広告,名詞,The job advertisement specifically requested females.,求人広告には「女性を求む」とはっきり書かれていた。
afternoon,午後,名詞,I spent the whole afternoon chatting with friends.,午後はずっと友人とおしゃべりをして過ごした。
age,年齢,名詞,You must take his age into account.,君は彼の年齢を考慮に入れなければならない。
agreement,合意；協定；一致,名詞,There is very little probability of an agreement being reached.,協定が結ばれる可能性は極めて少ない。
air,空気,名詞,To live without air is impossible.,空気無しで生きることは不可能です。
amount,量；総計，合計に達する；結局～なる,名詞,You'll be paid according to the amount of work you do.,君の賃金は仕事量に応じて支払われる。
animal,動物,名詞,Cows are more useful than any other animal in this country.,牛はこの国では他のどんな動物よりも役に立つ。
answer,答え,名詞,You'll have to answer for your behavior.,君は自分の行動に対して責任を取りなさい。
anything,（疑問文で）何か，（否定文で）何も，（肯定文で）何でも,名詞,I won't ask you anything else today.,今日はもう聞かないよ。
appearance,外観；出現；状況,名詞,To all appearance his statement was true.,どう見てもあの人の言ったことは真実のようだ。
area,地域；場所,名詞,It is risky for you to go into that area alone.,君が一人でその地域に行くのは危険だ。
arm,腕,名詞,I have a very sore arm where you hit me.,君にたたかれた腕の所がとても痛い。
arrival,到着,名詞,Our arrival at Narita was delayed by an hour.,我々の成田空港到着は１時間遅れた。
art,芸術,名詞,Karate is an art of unarmed defense.,空手は武器を用いない護身術である。
artist,芸術家；アーティスト,名詞,The artist captured the charm of the lady.,画家はその婦人の魅力をうまく捕らえた。
autumn,秋,名詞,In late summer and autumn one can see the leaves change colour.,夏の末と秋には紅葉が見られる。
awareness,認識,名詞,Developing political awareness takes time.,政治的意識を持つようになるには時間がかかる。
baby,赤ん坊,名詞,This baby penguin is too cute!,この赤ちゃんペンギンとっても可愛い！
bag,かばん；バッグ；袋,名詞,The robber seized the bag from his hand.,強盗はそのかばんを彼の手から奪い取った。
ball,ボール；球,名詞,The ball rolled into the stream.,球は小川の中に転がり込んだ。
bank,銀行,名詞,You can bank on that.,君はそれを当てにできる。
bath,浴槽,名詞,Soon the bath was cool enough for him to get into.,間もなく風呂は彼が入れるほどぬるくなりました。
beach,砂浜,名詞,A short stroll along the beach gave me a good appetite for breakfast.,海岸を少し散歩したら、朝御飯をとても食べたくなった。
bear,熊,名詞,Your efforts will bear fruit someday.,君の努力はいつかは実を結ぶだろう。
beauty,美人,名詞,The charm of Kyoto consists of the beauty of its old temples.,京都の魅力は古い寺の美しさにある。
bed,ベッド,名詞,It would be better for you to stay in bed today.,君は今日寝ていたほうがよさそうだ。
bill,請求書,名詞,I'll bring you the bill immediately.,すぐに伝票をお持ちします。
bird,鳥,名詞,The early bird catches the worm.,朝起きは三文の徳。
birth,誕生,名詞,The town gave birth to many men of note.,その町は多くの有名人を生んだ。
bit,少し；部分,名詞,With so many people around he naturally became a bit nervous.,多くの人に囲まれて彼は自然と少し緊張しだした。
blood,血,名詞,Parents who beat their children really make my blood boil.,我が子をたたく親には本当に憤慨させられる。
boat,ボート；船,名詞,I want a boat that will take me far away from here.,ここから遠くまで行けるボートが欲しいです。
body,体；人,名詞,I'm keeping a record of basal body temperature.,基礎体温をつけています。
bone,骨,名詞,I have a bone to pick with you.,あなたに不満があります。
book,本,名詞,Take a book and read it.,本を取ってそれを読みなさい。
bottle,ボトル；瓶,名詞,Find an empty bottle and fill it with water.,空のビンを捜して水を入れなさい。
bottom,底,名詞,Gum got stuck to the bottom of my shoe.,靴の底にガムが付いてしまった。
box,箱；ボックス,名詞,You may take either the big box or the small one.,君は大きい箱か小さい箱のどちらかをとっていいよ。
boy,男の子,名詞,Hunger compelled the boy to steal money from the cash register.,空腹のためにその少年はやむなくレジからお金を盗んだ。
bread,パン,名詞,Do you have bread for lunch?,君は昼食にパンを食べますか。
breakfast,朝食,名詞,We have breakfast at seven.,我々は７時に朝食をとる。
breath,息；呼吸,名詞,I'm out of breath after running up the stairs.,階段を駆け上がったので、息が切れた。
brother,兄弟；仲間,名詞,My little brother is watching TV.,私の弟はテレビを見ている。
bus,バス,名詞,Where can I get a shuttle bus at the airport?,空港リムジンバス乗り場はどこですか。
business,会社、仕事,名詞,You have no business complaining about the matter.,君はその事に不平を言うことはないよ。
buyer,買い手,名詞,They still haven't found a buyer for that house.,あの家はまだ買い手がつかない。
cake,ケーキ,名詞,Your cake is delicious.,君のケーキはおいしいね。
camp,キャンプ,名詞,We found it very hard going back to our base camp in the blizzard.,我々は吹雪の中をベースキャンプに戻るのに苦労した。
car,車,名詞,The car crashed into the wall.,その車は壁にぶつかった。
card,カード,名詞,There is a card on the desk.,机の上に一枚のカードがある。
case,場合,名詞,You have to judge the case without bias.,君はその問題を公正に判断しなければならない。
cat,猫,名詞,I feed my cat every morning and every evening.,毎日朝と夜、猫に餌を与えています。
center,中心,名詞,The tourist information center gave a city map to whoever asked it.,観光案内所では、ほしい人には誰にでも町の地図をあげました。
chair,椅子,名詞,Your chair is identical to mine.,君のいすは私のと全く同じだ。
chance,機会；可能性；偶然,名詞,Any chance you know where I put my keys?,私はカギを置いたところなんか知りませんか。
chicken,ニワトリ,名詞,Roast chicken is one of my favorite dishes.,ローストチキンは大好きな料理の１つです。
child,子ども,名詞,You are not a child any more.,君はもう子供ではない。
childhood,子供時代,名詞,Yumiko married a childhood friend last June.,ゆみこはこの前の６月に、子供時代の友人と結婚した。
choice,選択,名詞,You have no choice in this matter.,君はこの件については選択の自由はない。
church,教会,名詞,We could hear the donnnng ... donnnng of the church bells nearby.,近くの教会からカーンカーンという鐘の音がしてきた。
