although,〜だけれども,接続詞,The child had no overcoat on although it was very cold.,とても寒かったが、少年はオーバーを着ていなかった。
and,～と・・・,接続詞,Today is June 18th and it is Muiriel's birthday!,今日は６月１８日で、ムーリエルの誕生日です！
because,なぜなら～だから,接続詞,It's because you don't want to be alone.,それはあなたが一人になりたくないからです。
but,でも,接続詞,I may be antisocial， but it doesn't mean I don't talk to people.,私は反社会的かもしれないけれど人と話さないわけではない。
however,しかしながら；どんなに～でも；一体どうやって,接続詞,You may act however you wish.,君の好きなように振舞って良い。
if,もし～なら；～かどうか,接続詞,I don't know if I have the time.,時間があるか分かりません。
than,～よりも,接続詞,You're in better shape than I am.,君は僕より有利な立場にあるものね。
till,～まで（カジュアル）,接続詞,You must be here till five.,君は５時までここにいなければならない。
unless,～でない限り,接続詞,Don't stay in bed， unless you can make money in bed.,寝てるな、寝ながらお金を稼げるなら別だが。
until,～まで（ビジネス）,接続詞,Class doesn't begin until eight-thirty.,授業は八時三十分から始まるから。
whether,～かどうか；～であろうとなかろうと,接続詞,It is up to you to decide whether we will go there or not.,私たちがそこへ行くかどうかを決めるのは君の責任だ。
while,～の間に（同義語:whilst）,接続詞,Seriously though， episode 21 made me almost cry while laughing.,でもほんとに、エピソード21には涙が出るほど笑ったよ。
whilst,～の間に（同義語:while）,接続詞,I will introduce it whilst showing you photos.,写真を見せながら紹介します。
nor,～もまた～でない,接続詞,What you say is neither here nor there.,君の言う事は問題外である。
whereas,～である一方で,接続詞,I am poor， whereas my brothers are very rich.,私は貧しい、それに対して私の兄弟たちはとても裕福だ。
or,あるいは；すなわち；そうでなければ,接続詞,Are you ready or not?,準備できた？まだ？
so,その理由で,接続詞,"It was raining, so I stopped going outside.",雨が降っていたので、外に出るのをやめた。
