another,もう一つの；別の,限定詞,I told them to send me another ticket.,私は彼らにチケットをもう一枚送ってくれるように頼んだ。
any,（肯定文で）どれでも,限定詞,It's useless to keep on thinking any more.,これ以上考えても無駄だ。
each,各；1つ1つの,限定詞,We always disagree with each other.,私たちはいつも意見が合わない。
every,すべての；毎～,限定詞,Back in high school， I got up at 6 a.m. every morning.,高校生の時は毎朝6時に起きていた。
many,多くの，多数,限定詞,How many close friends do you have?,親友は何人いる？
my,私の,限定詞,You are in my way.,君は僕の邪魔をしている。
other,もう一方の；別の；他の,限定詞,What other options do I have?,他にどんな選択肢があるの？
our,私たちの,限定詞,Imagination affects every aspect of our lives.,想像力は私たちの生活のどの側面にも影響を与える。
same,同じ,限定詞,I can only wonder if this is the same for everyone else.,みんなもそうなのかな、と思うことくらいしかできない。
several,いくつかの；それぞれの,限定詞,He came several times.,彼は数回来ました。
some,いくらかの；ある；およそ,限定詞,For some reason I feel more alive at night.,私はなぜか夜の方が元気だ。
such,そのような；とても～な,限定詞,A Japanese would never do such a thing.,日本人ならそんなことはけっしてしないでしょう。
their,彼らの；彼女らの；それらの,限定詞,That was probably what influenced their decision.,それで彼らの気が変わったのかも知れない。
these,これら,限定詞,I do not have an account in these forums.,これらのフォームのアカウントを私はもってません。
those,あれら,限定詞,The only useful answers are those that raise new questions.,有意義な回答とは、新たな疑問を生むようなそれである。
whatever,～する事は何でも；何であれ；一体何が～,限定詞,Do whatever he tells you.,あの方が言われる事を、何でもしてあげて下さい。
which,どちら,限定詞,All that which is invented， is true.,作り事はすべて、真実だ。
your,あなたの,限定詞,I'll do my best not to disturb your studying.,あなたの勉強を邪魔しないようにします。
false,うその,限定詞,He gave the police a false name and address.,彼は警察に嘘の名前と住所を知らせた。
former,前の，前者,限定詞,Kyoto was the former capital of Japan.,京都は以前日本の首都でした。
latter,後の，後者,限定詞,The latter half of the drama was a little dull.,その芝居の後半は少し退屈だった。
